intent_cutoff,q_thresh,w_flag,n_flagged,oof_auc,delta_auc,note
,,1.0,0,0.762018154588666,0.0,baseline
3.5,0.2,0.1,8,0.7625817582249593,0.000563603636293375,
3.5,0.2,0.3,8,0.7624692054868621,0.0004510508981961925,
3.5,0.2,0.5,8,0.7626854915320863,0.0006673369434203602,
3.5,0.3,0.1,70,0.7650117214437325,0.002993566855066576,
3.5,0.3,0.3,70,0.7649310866462895,0.002912932057623552,
3.5,0.3,0.5,70,0.7633864263077746,0.0013682717191086935,
3.5,0.5,0.1,299,0.7671993602972736,0.005181205708607695,
3.5,0.5,0.3,299,0.7651910498734621,0.00317289528479614,main
3.5,0.5,0.5,299,0.765662259471019,0.0036441048823530053,
4.0,0.2,0.1,5,0.7627094299875772,0.0006912753989112286,
4.0,0.2,0.3,5,0.7629101770353777,0.0008920224467117155,
4.0,0.2,0.5,5,0.7628585203682658,0.0008403657795998942,
4.0,0.3,0.1,40,0.7626262753527143,0.0006081207640483699,
4.0,0.3,0.3,40,0.7621748044816149,0.0001566498929489457,
4.0,0.3,0.5,40,0.7627619266004958,0.0007437720118298463,
4.0,0.5,0.1,167,0.7662065443537582,0.004188389765092282,
4.0,0.5,0.3,167,0.7654388338864375,0.003420679297771567,
4.0,0.5,0.5,167,0.7644972546371307,0.002479100048464744,
