ablation,base,LR_C10_coef,LR_bal_coef,convex_weight
A: Phase 6 CL (5 bases),RF,0.37645964977174856,0.4079907233424113,0.03157188177399629
A: Phase 6 CL (5 bases),NRBoost,0.01412834328562491,0.01668451819406475,0.045791535446283275
A: Phase 6 CL (5 bases),MTMLP,0.31558275966224286,0.2942161009204972,5.452747936099234e-18
A: Phase 6 CL (5 bases),SVM,-0.048021887623949974,-0.06560140999641902,0.9226365827797205
A: Phase 6 CL (5 bases),ET,0.28435129226604716,0.3226790878542951,0.0
B: + TabPFN,RF,0.08104467344622894,0.07896152535680281,0.014811290910867315
B: + TabPFN,NRBoost,0.012341984964185464,0.013555773414708578,0.007160293375473267
B: + TabPFN,MTMLP,0.04125413656259746,0.03411493692942889,6.527559978672446e-19
B: + TabPFN,SVM,0.003179510321553372,-0.017160435413270756,0.05280422132923838
B: + TabPFN,ET,0.18794445450708375,0.1953024881008455,0.051991149544442825
B: + TabPFN,TabPFN,0.5984059523335435,0.6322912813271986,0.8732330448399782
C: + gcForest,RF,0.35579373984551194,0.39644703984320323,0.0010164405073419954
C: + gcForest,NRBoost,0.014770107842169552,0.01726189227936675,0.04975942214115972
C: + gcForest,MTMLP,0.3120678689559262,0.2915477301118165,1.631898205470221e-18
C: + gcForest,SVM,-0.05053984473772289,-0.06686611855677801,0.5845831301823792
C: + gcForest,ET,0.28858210208022056,0.32410010852167825,0.018187252094475557
C: + gcForest,GCF,0.017495689812329206,0.009213987472493166,0.3464537550746436
D: + kNN,RF,0.37567425615586497,0.40803679910848056,0.010526331118877207
D: + kNN,NRBoost,0.015409935948900357,0.01883778011847764,0.0729142808634053
D: + kNN,MTMLP,0.3108468191613208,0.28759645671650685,6.638479963074712e-19
D: + kNN,SVM,-0.05608897252769608,-0.07779032566311797,0.44755494452829186
D: + kNN,ET,0.2722755821638328,0.30640973113871356,0.0
D: + kNN,KNN,0.02279041663730385,0.027652958394675624,0.46900444348942555
E: all 8 (Phase 7 full),RF,0.08480389202100169,0.08495042395754285,0.022709193058175113
E: all 8 (Phase 7 full),NRBoost,0.01349137883742905,0.014949666684090627,0.01938491204941362
E: all 8 (Phase 7 full),MTMLP,0.027750734803750513,0.017848480174324992,0.0
E: all 8 (Phase 7 full),SVM,-0.004443648393920017,-0.029131736079073375,0.0
E: all 8 (Phase 7 full),ET,0.17415863414312516,0.17729031989874156,0.027888912514864764
E: all 8 (Phase 7 full),TabPFN,0.6027137019294572,0.6434216105684273,0.7673890613237963
E: all 8 (Phase 7 full),GCF,-0.002880639777687944,-0.007539852046640537,0.04854029675182336
E: all 8 (Phase 7 full),KNN,0.027314774851737417,0.03380683634590703,0.11408762430192676
