baseline,threshold_criterion,threshold,AUC,AUC_lo,AUC_hi,PR_AUC,PR_lo,PR_hi,F1,Bal_Acc,MCC,Sens,Spec,Brier
LR,F1,0.2,0.7665153196784718,0.7298791830357585,0.8012691333535917,0.31140159132193757,0.2533878178463833,0.37616551819058863,0.40310077519379844,0.6917499075101738,0.2882714777547881,0.6540880503144654,0.7294117647058823,0.11052009473041241
LR,Bal-Acc,0.13,0.7665153196784718,0.7298791830357585,0.8012691333535917,0.31140159132193757,0.2533878178463833,0.37616551819058863,0.3964285714285714,0.6939763898698416,0.28375559396670624,0.6981132075471698,0.6898395721925134,0.11052009473041241
RF,F1,0.15000000000000002,0.780856287626543,0.7465025855118158,0.8117447838025745,0.31532963349438525,0.26161379704715626,0.37958751550488945,0.4098671726755218,0.7005852083543538,0.29925474649318573,0.6792452830188679,0.7219251336898396,0.10957334857857036
RF,Bal-Acc,0.1,0.780856287626543,0.7465025855118158,0.8117447838025745,0.31532963349438525,0.26161379704715626,0.37958751550488945,0.41823899371069184,0.7342817744593549,0.3330205980944939,0.8364779874213837,0.6320855614973262,0.10957334857857036
XGB,F1,0.19,0.7533884909023644,0.7145277227717831,0.7893413599808502,0.29416837072893853,0.2407321838316114,0.3584354574120684,0.4015594541910331,0.6896747721387011,0.2857764542083935,0.6477987421383647,0.7315508021390374,0.11280498758777478
XGB,Bal-Acc,0.15000000000000002,0.7533884909023644,0.7145277227717831,0.7893413599808502,0.29416837072893853,0.2407321838316114,0.3584354574120684,0.38636363636363635,0.6934651733763831,0.2765090460774226,0.7484276729559748,0.6385026737967915,0.11280498758777478
LGBM,F1,0.19,0.7593952847005011,0.7209977454578427,0.7942440774844496,0.29798275662188506,0.24626504773257887,0.35809321254277104,0.39651416122004357,0.6743988161302257,0.27555418873385285,0.5723270440251572,0.7764705882352941,0.11203376471003823
LGBM,Bal-Acc,0.14,0.7593952847005011,0.7209977454578427,0.7942440774844496,0.29798275662188506,0.24626504773257887,0.35809321254277104,0.3974151857835218,0.7065785490868732,0.29498235689488544,0.7735849056603774,0.6395721925133689,0.11203376471003823
CatBoost,F1,0.19,0.7600881175797936,0.7197425547144949,0.7966475602614154,0.3050382201089898,0.2513197136866514,0.36766703712250354,0.40399002493765584,0.6686207244475835,0.2863636133451211,0.5094339622641509,0.827807486631016,0.11069752347568294
CatBoost,Bal-Acc,0.15000000000000002,0.7600881175797936,0.7197425547144949,0.7966475602614154,0.3050382201089898,0.2513197136866514,0.36766703712250354,0.38870431893687707,0.6935929774997478,0.2779915565555436,0.7358490566037735,0.651336898395722,0.11069752347568294
kNN,F1,0.2,0.75859482729627,0.7205765823970639,0.7972856860896737,0.29807247850966645,0.2437936244057736,0.3590598626567889,0.39195979899497485,0.6591867621834325,0.27155593865658395,0.49056603773584906,0.827807486631016,0.11167097310561712
kNN,Bal-Acc,0.15000000000000002,0.75859482729627,0.7205765823970639,0.7972856860896737,0.29807247850966645,0.2437936244057736,0.3590598626567889,0.39932885906040266,0.7041603605421585,0.29382069656440396,0.7484276729559748,0.6598930481283423,0.11167097310561712
SVM,F1,0.19,0.7638751555510713,0.7274757267568029,0.7993572549512559,0.30558811683808906,0.24764386579602943,0.36770184076487245,0.42016806722689076,0.6984226280563683,0.3083084445607277,0.6289308176100629,0.7679144385026738,0.1106597316586304
SVM,Bal-Acc,0.15000000000000002,0.7638751555510713,0.7274757267568029,0.7993572549512559,0.30558811683808906,0.24764386579602943,0.36770184076487245,0.41155234657039713,0.7082231863585915,0.3055809773679863,0.7169811320754716,0.6994652406417112,0.1106597316586304
Phase6-Champion,F1,0.19,0.7843709010190697,0.7496536346876628,0.815673659774846,0.31291288625657754,0.25951780156347415,0.3763140569521154,0.4251968503937008,0.7107456361618403,0.31871470676255415,0.6792452830188679,0.7422459893048128,0.10997447633101892
Phase6-Champion,Bal-Acc,0.14,0.7843709010190697,0.7496536346876628,0.815673659774846,0.31291288625657754,0.25951780156347415,0.3763140569521154,0.41651705565529623,0.7139777351764033,0.3135138951951833,0.7295597484276729,0.6983957219251337,0.10997447633101892
