feature,mean_abs_shap_rf,rf_builtin_importance
工作单位性质,0.10301559020716294,0.15630724815672078
高校类型,0.07201345173657456,0.11946204759716893
收入水平,0.059739834017907806,0.1701256849236924
专业类型,0.05693964129941639,0.0655210157995863
工作匹配度,0.0555283645776515,0.11091164194488969
工作满意度,0.041748671926169725,0.13484015310572597
工作机会,0.03137080284815305,0.08924698459828037
工作区域,0.012799181969273514,0.03163135306295264
性别,0.0082871332094848,0.025493105618379072
家庭所在地,0.008142199182789203,0.036423380547678325
工作氛围,0.008117302082027324,0.030305388724636815
工作压力,0.00753322402162777,0.029731995920288697
