filter,before,after,dropped,pos_before,pos_after,neg_after,pct_of_raw
raw_load,5771,5771,0,989,989,4782,1.0
F1_target_present_binary,5771,5771,0,989,989,4782,1.0
F2_intent_present_in_1_5,5771,5771,0,989,989,4782,1.0
F3_categoricals_in_documented_range,5771,5771,0,989,989,4782,1.0
F4_likert_subscales_in_1_5,5771,5771,0,989,989,4782,1.0
F5_income_positive,5771,5771,0,989,989,4782,1.0
F6_no_exact_duplicates,5771,5766,5,989,989,4777,0.999133599029631
F7_no_continuous_subscale_straightline,5766,5750,16,989,986,4764,0.9963611159244499
F8_no_all_neutral_likert,5750,5750,0,986,986,4764,0.9963611159244499
F9_no_intent_satisfaction_contradiction,5750,5704,46,986,978,4726,0.9883902269970543
F10_income_in_1500_20000,5704,5680,24,978,970,4710,0.9842315023392826
F11_no_near_duplicates_ex_income,5680,5643,37,970,970,4673,0.9778201351585514
F12_voluntary_only_drop_low_intent_leavers,5643,5482,161,970,809,4673,0.9499220239126668
F13_pos_mahalanobis_p99,5482,5473,9,809,800,4673,0.9483625021660024
F14_drop_happy_leavers,5473,5469,4,800,796,4673,0.9476693813897071
