metric,value
n_eligible,52.0
n_feasible,32.0
feasibility_rate,0.6153846153846154
mean_cfs_per_emp,3.28125
top1_mean_cost_yuan,12907.750030517578
top1_median_cost_yuan,12308.33349609375
top1_p10_cost_yuan,10327.2666015625
top1_p90_cost_yuan,16122.9333984375
bestCPE_dp_per_kyuan_mean,0.024973194638931072
bestCPE_dp_per_kyuan_median,0.025115828679076066
feasible_within_¥2000,0.0
pct_within_¥2000,0.0
feasible_within_¥5000,0.0
pct_within_¥5000,0.0
feasible_within_¥8000,0.0
pct_within_¥8000,0.0
feasible_within_¥12000,15.0
pct_within_¥12000,0.28846153846153844
feasible_within_¥20000,31.0
pct_within_¥20000,0.5961538461538461
feasible_within_¥50000,32.0
pct_within_¥50000,0.6153846153846154
